time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-01T08:11:13.572Z,57.9816,-137.4686,13.8,2.6,ml,,,,1.08,ak,ak0245lwe70d,2024-05-01T08:13:44.997Z,"70 km WSW of Elfin Cove, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-05-01T08:11:07.520Z,32.6191673,-115.7181702,8.64,1.4,ml,18,197,0.03086,0.22,ci,ci40734656,2024-05-01T08:13:17.768Z,"13 km WNW of Progreso, B.C., MX",earthquake,0.91,0.56,0.279,3,automatic,ci,ci
2024-05-01T07:58:05.400Z,38.8156662,-122.8235016,2.33,1.08,md,20,53,0.008108,0.02,nc,nc74043691,2024-05-01T07:59:41.423Z,"7 km NW of The Geysers, CA",earthquake,0.21,0.47,0.11,21,automatic,nc,nc
2024-05-01T07:55:57.910Z,35.3515,-118.5018333,6.37,1.66,ml,42,26,0.08944,0.16,ci,ci40734648,2024-05-01T08:06:58.190Z,"25 km N of Tehachapi, CA",earthquake,0.15,0.58,0.198,26,automatic,ci,ci
2024-05-01T07:55:53.980Z,19.3908333333333,-155.243166666667,1.53,2.63,ml,47,50,0.009335,0.11,hv,hv74203092,2024-05-01T08:08:23.676Z,"5 km S of Volcano, Hawaii",earthquake,0.15,0.12,0.206044310648256,26,reviewed,hv,hv
2024-05-01T07:53:31.519Z,60.7078,-151.3582,49.5,1.2,ml,,,,0.59,ak,ak0245lw1sv3,2024-05-01T07:55:44.807Z,"4 km WNW of Nikiski, Alaska",earthquake,,1.2,,,automatic,ak,ak
2024-05-01T07:49:07.991Z,60.327,-152.3444,89.6,1.7,ml,,,,0.27,ak,ak0245lw0w6n,2024-05-01T07:51:35.053Z,"48 km NW of Ninilchik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-05-01T07:39:15.277Z,-9.5001,148.8845,10,4.9,mb,37,145,1.704,0.71,us,us6000mvf5,2024-05-01T07:57:20.040Z,"108 km SE of Popondetta, Papua New Guinea",earthquake,9.71,1.866,0.106,28,reviewed,us,us
2024-05-01T07:35:55.930Z,38.8216667,-122.8236694,2.53,1.05,md,7,140,0.008991,0.01,nc,nc74043681,2024-05-01T07:37:31.085Z,"8 km NW of The Geysers, CA",earthquake,0.65,0.85,0.3,9,automatic,nc,nc
2024-05-01T07:32:07.351Z,64.3543,-152.6652,80.1,1.5,ml,,,,1.08,ak,ak0245lvx90l,2024-05-01T07:35:54.371Z,"55 km NNW of Lake Minchumina, Alaska",earthquake,,1.8,,,automatic,ak,ak
